Image                                            NC        BER
-----------------------------------------------------------------
5dbd1ba42c5a4bc4a29c92c52bf5d706_wm_cropP0.1.png    -0.0421     0.5188
e54b0d73b89142a0acbeedc4b3c49c84_wm_cropP0.1.png    -0.0448     0.5250
5093d4380fe240d3abbca91e4400ae49_wm_cropP0.1.png     0.0218     0.4875
206c5724d37f4630a34d9921b34f9a98_wm_cropP0.1.png    -0.0006     0.4938
ab9429cbfb2f4d76be9d645035006fa5_wm_cropP0.1.png    -0.0847     0.5312
55036d1597a540cfb25e8332e8d66438_wm_cropP0.1.png     0.0896     0.4375
08c221bd97794b2891358b282a866861_wm_cropP0.1.png     0.1318     0.4313
3881898746a94af8b9958263e4f60c88_wm_cropP0.1.png     0.0311     0.4813
f62fb8341ec04c88a9fb07ecf0ef06be_wm_cropP0.1.png     0.0658     0.4625
5d765f2913db485c8987909b159ab4e4_wm_cropP0.1.png    -0.0274     0.4938
