Image                                            NC        BER
-----------------------------------------------------------------
5093d4380fe240d3abbca91e4400ae49_wm_gaussVar20.0.png     0.8243     0.0875
5dbd1ba42c5a4bc4a29c92c52bf5d706_wm_gaussVar20.0.png     0.8374     0.0813
55036d1597a540cfb25e8332e8d66438_wm_gaussVar20.0.png     0.6999     0.1500
e54b0d73b89142a0acbeedc4b3c49c84_wm_gaussVar20.0.png     0.9875     0.0063
ab9429cbfb2f4d76be9d645035006fa5_wm_gaussVar20.0.png     0.7618     0.1187
3881898746a94af8b9958263e4f60c88_wm_gaussVar20.0.png     0.8746     0.0625
f62fb8341ec04c88a9fb07ecf0ef06be_wm_gaussVar20.0.png     0.7986     0.1000
08c221bd97794b2891358b282a866861_wm_gaussVar20.0.png     0.8617     0.0688
206c5724d37f4630a34d9921b34f9a98_wm_gaussVar20.0.png     0.7905     0.1062
5d765f2913db485c8987909b159ab4e4_wm_gaussVar20.0.png     0.8264     0.0875
