Image                                            NC        BER
-----------------------------------------------------------------
5093d4380fe240d3abbca91e4400ae49_wm_spAmt0.02.png    -0.0833     0.5375
5dbd1ba42c5a4bc4a29c92c52bf5d706_wm_spAmt0.02.png     0.0878     0.4562
ab9429cbfb2f4d76be9d645035006fa5_wm_spAmt0.02.png     0.0947     0.4562
f62fb8341ec04c88a9fb07ecf0ef06be_wm_spAmt0.02.png     0.1244     0.4375
55036d1597a540cfb25e8332e8d66438_wm_spAmt0.02.png     0.3968     0.3000
5d765f2913db485c8987909b159ab4e4_wm_spAmt0.02.png     0.1009     0.4437
206c5724d37f4630a34d9921b34f9a98_wm_spAmt0.02.png     0.2244     0.3812
3881898746a94af8b9958263e4f60c88_wm_spAmt0.02.png     0.2227     0.3875
08c221bd97794b2891358b282a866861_wm_spAmt0.02.png     0.2812     0.3563
e54b0d73b89142a0acbeedc4b3c49c84_wm_spAmt0.02.png     0.5698     0.2188
