Image                                            NC        BER
-----------------------------------------------------------------
bc2f6efbce124bf1aeaddec95369de18_wm_resizeP0.5.png     0.1066     0.4437
55a7b1c10177479380755ef86dd949ff_wm_resizeP0.5.png    -0.1224     0.5375
20dd3f0e50af4ff4a51c2aa36b05f266_wm_resizeP0.5.png    -0.0159     0.5000
7606e670849d44f59f5fc2429cc67f9e_wm_resizeP0.5.png     0.0342     0.4688
b7d4787ff3da4acfac1f85dfa19e4b1b_wm_resizeP0.5.png    -0.0055     0.5000
4480eae412b7493b9f45a15d8423899b_wm_resizeP0.5.png    -0.0047     0.4688
023cf6e86ad2410ca0a07f63b640a2af_wm_resizeP0.5.png    -0.0742     0.5375
03dd3c1df59d493692ec05f976ba0c81_wm_resizeP0.5.png    -0.0051     0.4938
77fbf4c75fe7447594dbe00691ba1845_wm_resizeP0.5.png     0.0928     0.4375
c587447290644f92bc68f1d49bf81042_wm_resizeP0.5.png     0.0653     0.4750
